Class,State,Index
SEQ,OFF_IDLE,0
SEQ,STARTED,1
SEQ,PAUSED,2
SEQ,RESUMED,3
SEQ,WRMODE,4
SEQ,WRCMD,5
SEQ,ABORTED,6
SEQ,ACKNOWLEDGED,7
SEQ,COMPLETED,8
BLK,STOPPED,0
BLK,INTERLOCKED,51
BLK,ABORTED,98
BLK,COMPLETED,99
AL1,ENABLED,1
AL1,FAULT,2
DI1,ENABLED,1
DI1,ALARM,2
DI2,ENABLED,1
DI2,ALARM,2
DI3,ENABLED,1
DI3,ALARM,2
HE1,DISABLED,1
HE1,ENABLED,2
HE1,FAULT,3
MI1,ENABLED,1
MI1,FAULT,2
MOD1,DISABLED,1
MOD1,LOCAL,2
MOD1,REMOTE,3
MOT1,STOPPED,1
MOT1,RUNNING,2
MOT1,STARTING_STOPPING,3
MOT1,FAULT,4
PC1,DISABLED,1
PC1,PRESSURE,2
PC1,VALVE,3
PI1,ENABLED,1
PI1,FAULT,2
PI2,ENABLED,1
PI2,FAULT,2
POSx,CLOSED,1
POSx,OPENED,2
POSx,TRAVEL,3
POSx,FAULT,4
POS1,CLOSED,1
POS1,OPENED,2
POS1,TRAVEL,3
POS1,FAULT,4
POS2,CLOSED,1
POS2,OPENED,2
POS2,TRAVEL,3
POS2,FAULT,4
POS3,CLOSED,1
POS3,OPENED,2
POS3,TRAVEL,3
POS3,FAULT,4
POS4,CLOSED,1
POS4,OPENED,2
POS4,TRAVEL,3
POS4,FAULT,4
SIC1,DISABLED,1
SIC1,ENABLED,2
SIC1,STOPPED,3
SIC1,RUNNING,4
SIC1,FAULT,5
TC1,DISABLED,1
TC1,ENABLED,2
TI1,ENABLED,1
TI1,FAULT,2
TI2,ENABLED,1
TI2,FAULT,2
VS1,DISABLED,1
VS1,ENABLED,2
VS1,FAULT,3
ZSC1,CLOSED,1
ZSC1,OPENED,2
ZSC1,MISMATCH,3
ZSC2,IN,1
ZSC2,OUT,2
ZSC2,MISMATCH,3
EMA1,STOPPED,0
EMA1,INTERLOCKED,51
EMA1,ERROR,97
EMA1,ABORTED,98
EMA1,COMPLETED,99
EMA1,MIX,1
EMC1,STOPPED,0
EMC1,INTERLOCKED,51
EMC1,ERROR,97
EMC1,ABORTED,98
EMC1,COMPLETED,99
EMC1,PRESSURE,1
EMC1,VALVE,2
EMC2,STOPPED,0
EMC2,INTERLOCKED,51
EMC2,ERROR,97
EMC2,ABORTED,98
EMC2,COMPLETED,99
EMC2,CHARGE,1
EMC2,FLUSH,2
EMC2,ISOLATE,3
EMC2,SETUP,4
EMC3,STOPPED,0
EMC3,INTERLOCKED,51
EMC3,ERROR,97
EMC3,ABORTED,98
EMC3,COMPLETED,99
EMC3,FLUSH,1
EMC3,ISOLATE,2
EMC3,SETUP,3
EMG1,STOPPED,0
EMG1,INTERLOCKED,51
EMG1,ERROR,97
EMG1,ABORTED,98
EMG1,COMPLETED,99
EMG1,FILTER,1
EMG1,SIP,2
EMM1,STOPPED,0
EMM1,INTERLOCKED,51
EMM1,ERROR,97
EMM1,ABORTED,98
EMM1,COMPLETED,99
EMM1,MEASURE,1
EMM1,TARE,2
EMT1,STOPPED,0
EMT1,INTERLOCKED,51
EMT1,ERROR,97
EMT1,ABORTED,98
EMT1,COMPLETED,99
EMT1,COOL,1
EMT1,DRAIN,2
EMT1,PREEMPT,3
EMV1,STOPPED,0
EMV1,INTERLOCKED,51
EMV1,ERROR,97
EMV1,ABORTED,98
EMV1,COMPLETED,99
EMV1,DISCHARGE,1
EMV1,ISOLATE,2
EMV1,MANWAY,3
EMV2,STOPPED,0
EMV2,INTERLOCKED,51
EMV2,ERROR,97
EMV2,ABORTED,98
EMV2,COMPLETED,99
EMV2,CHARGE,1
EMV2,PULSE,2
EMX1,STOPPED,0
EMX1,INTERLOCKED,51
EMX1,ERROR,97
EMX1,ABORTED,98
EMX1,COMPLETED,99
EMX1,CIP_MMFLX,1
EMX1,CIP_MX,2
EMX1,FILTER,3
EMX1,SETUP_CIPSIP,4
EMX1,SETUP_FILTER,5
EMX1,SIP,6
EMX2,STOPPED,0
EMX2,INTERLOCKED,51
EMX2,ERROR,97
EMX2,ABORTED,98
EMX2,COMPLETED,99
EMX2,CIP_SY,1
EMX2,FILL_MX,2
EMX2,FILL_SY,3
EMX2,FILTER,4
EMX2,ISOLATE,5
EMX2,SETUP,6
EMX2,SIP,7
EMX4,STOPPED,0
EMX4,INTERLOCKED,51
EMX4,ERROR,97
EMX4,ABORTED,98
EMX4,COMPLETED,99
EMX4,CIP,1
EMX4,SIP,2
EMX4,SIP_PULSE,3
EMX5,STOPPED,0
EMX5,INTERLOCKED,51
EMX5,ERROR,97
EMX5,ABORTED,98
EMX5,COMPLETED,99
EMX5,FILL,1
EMX6,STOPPED,0
EMX6,INTERLOCKED,51
EMX6,ERROR,97
EMX6,ABORTED,98
EMX6,COMPLETED,99
EMX6,CIP,1
EMX6,FILTER,2
EMX6,FILTER_BLEED,3
EMX6,SETUP_CIP,4
EMX6,SETUP_SIP,5
EMX6,SIP,6
MX,STOPPED,0
MX,INTERLOCKED,51
MX,ERROR,97
MX,ABORTED,98
MX,COMPLETED,99
MX,CIP,1
MX,FILL,2
MX,FILTER,3
MX,MAKE,4
MX,SETUP,5
MX,SIP,6
SY,STOPPED,0
SY,INTERLOCKED,51
SY,ERROR,97
SY,ABORTED,98
SY,COMPLETED,99
SY,CIP,1
SY,FILL,2
SY,FILTER,3
SY,SETUP,4
SY,SIP,5
PCMX,STOPPED,0
PCMX,INTERLOCKED,51
PCMX,ERROR,97
PCMX,ABORTED,98
PCMX,COMPLETED,99
PCMX,CIPSIP,1
PCMX,FILL,2
PCMX,FILTER,3
PCMX,MAKE,4
PCSY,STOPPED,0
PCSY,INTERLOCKED,51
PCSY,ERROR,97
PCSY,ABORTED,98
PCSY,COMPLETED,99
PCSY,CIPSIP,1
PCSY,FILL,2
